,species,covariate
1,Sus scrofa,Avg_FLLI_3km
2,Sus scrofa,Avg_forest_cover_3km
3,Sus scrofa,Avg_human_footprint_3km
4,Sus scrofa,Avg_human_population_3km
5,Sus scrofa,Avg_OP_percent_3km
6,Macaca nemestrina,Avg_FLLI_3km
7,Macaca nemestrina,Avg_forest_cover_3km
8,Macaca nemestrina,Avg_human_footprint_3km
9,Macaca nemestrina,Avg_human_population_3km
10,Macaca nemestrina,Avg_OP_percent_3km
11,Muntiacus muntjak,Avg_FLLI_3km
12,Muntiacus muntjak,Avg_forest_cover_3km
13,Muntiacus muntjak,Avg_human_footprint_3km
14,Muntiacus muntjak,Avg_human_population_3km
15,Muntiacus muntjak,Avg_OP_percent_3km
16,Hystrix brachyura,Avg_FLLI_3km
17,Hystrix brachyura,Avg_forest_cover_3km
18,Hystrix brachyura,Avg_human_footprint_3km
19,Hystrix brachyura,Avg_human_population_3km
20,Hystrix brachyura,Avg_OP_percent_3km
21,Sus barbatus,Avg_FLLI_3km
22,Sus barbatus,Avg_forest_cover_3km
23,Sus barbatus,Avg_human_footprint_3km
24,Sus barbatus,Avg_human_population_3km
25,Sus barbatus,Avg_OP_percent_3km
26,Macaca fascicularis,Avg_FLLI_3km
27,Macaca fascicularis,Avg_forest_cover_3km
28,Macaca fascicularis,Avg_human_footprint_3km
29,Macaca fascicularis,Avg_human_population_3km
30,Macaca fascicularis,Avg_OP_percent_3km
31,Muntiacus reevesi,Avg_FLLI_3km
32,Muntiacus reevesi,Avg_forest_cover_3km
33,Muntiacus reevesi,Avg_human_footprint_3km
34,Muntiacus reevesi,Avg_human_population_3km
35,Muntiacus reevesi,Avg_OP_percent_3km
36,Rusa unicolor,Avg_FLLI_3km
37,Rusa unicolor,Avg_forest_cover_3km
38,Rusa unicolor,Avg_human_footprint_3km
39,Rusa unicolor,Avg_human_population_3km
40,Rusa unicolor,Avg_OP_percent_3km
41,Paradoxurus hermaphroditus,Avg_FLLI_3km
42,Paradoxurus hermaphroditus,Avg_forest_cover_3km
43,Paradoxurus hermaphroditus,Avg_human_footprint_3km
44,Paradoxurus hermaphroditus,Avg_human_population_3km
45,Paradoxurus hermaphroditus,Avg_OP_percent_3km
46,Helarctos malayanus,Avg_FLLI_3km
47,Helarctos malayanus,Avg_forest_cover_3km
48,Helarctos malayanus,Avg_human_footprint_3km
49,Helarctos malayanus,Avg_human_population_3km
50,Helarctos malayanus,Avg_OP_percent_3km
51,Hystrix crassispinis,Avg_FLLI_3km
52,Hystrix crassispinis,Avg_forest_cover_3km
53,Hystrix crassispinis,Avg_human_footprint_3km
54,Hystrix crassispinis,Avg_human_population_3km
55,Hystrix crassispinis,Avg_OP_percent_3km
56,Tragulus kanchil,Avg_FLLI_3km
57,Tragulus kanchil,Avg_forest_cover_3km
58,Tragulus kanchil,Avg_human_footprint_3km
59,Tragulus kanchil,Avg_human_population_3km
60,Tragulus kanchil,Avg_OP_percent_3km
61,Hemigalus derbyanus,Avg_FLLI_3km
62,Hemigalus derbyanus,Avg_forest_cover_3km
63,Hemigalus derbyanus,Avg_human_footprint_3km
64,Hemigalus derbyanus,Avg_human_population_3km
65,Hemigalus derbyanus,Avg_OP_percent_3km
66,Prionailurus bengalensis,Avg_FLLI_3km
67,Prionailurus bengalensis,Avg_forest_cover_3km
68,Prionailurus bengalensis,Avg_human_footprint_3km
69,Prionailurus bengalensis,Avg_human_population_3km
70,Prionailurus bengalensis,Avg_OP_percent_3km
71,Atherurus macrourus,Avg_FLLI_3km
72,Atherurus macrourus,Avg_forest_cover_3km
73,Atherurus macrourus,Avg_human_footprint_3km
74,Atherurus macrourus,Avg_human_population_3km
75,Atherurus macrourus,Avg_OP_percent_3km
76,Macaca arctoides,Avg_FLLI_3km
77,Macaca arctoides,Avg_forest_cover_3km
78,Macaca arctoides,Avg_human_footprint_3km
79,Macaca arctoides,Avg_human_population_3km
80,Macaca arctoides,Avg_OP_percent_3km
81,Viverra zibetha,Avg_FLLI_3km
82,Viverra zibetha,Avg_forest_cover_3km
83,Viverra zibetha,Avg_human_footprint_3km
84,Viverra zibetha,Avg_human_population_3km
85,Viverra zibetha,Avg_OP_percent_3km
86,Tapirus indicus,Avg_FLLI_3km
87,Tapirus indicus,Avg_forest_cover_3km
88,Tapirus indicus,Avg_human_footprint_3km
89,Tapirus indicus,Avg_human_population_3km
90,Tapirus indicus,Avg_OP_percent_3km
91,Viverra tangalunga,Avg_FLLI_3km
92,Viverra tangalunga,Avg_forest_cover_3km
93,Viverra tangalunga,Avg_human_footprint_3km
94,Viverra tangalunga,Avg_human_population_3km
95,Viverra tangalunga,Avg_OP_percent_3km
96,Elephas maximus,Avg_FLLI_3km
97,Elephas maximus,Avg_forest_cover_3km
98,Elephas maximus,Avg_human_footprint_3km
99,Elephas maximus,Avg_human_population_3km
100,Elephas maximus,Avg_OP_percent_3km
101,Martes flavigula,Avg_FLLI_3km
102,Martes flavigula,Avg_forest_cover_3km
103,Martes flavigula,Avg_human_footprint_3km
104,Martes flavigula,Avg_human_population_3km
105,Martes flavigula,Avg_OP_percent_3km
106,Neofelis nebulosa,Avg_FLLI_3km
107,Neofelis nebulosa,Avg_forest_cover_3km
108,Neofelis nebulosa,Avg_human_footprint_3km
109,Neofelis nebulosa,Avg_human_population_3km
110,Neofelis nebulosa,Avg_OP_percent_3km
111,Panthera pardus,Avg_FLLI_3km
112,Panthera pardus,Avg_forest_cover_3km
113,Panthera pardus,Avg_human_footprint_3km
114,Panthera pardus,Avg_human_population_3km
115,Panthera pardus,Avg_OP_percent_3km
116,Ursus thibetanus,Avg_FLLI_3km
117,Ursus thibetanus,Avg_forest_cover_3km
118,Ursus thibetanus,Avg_human_footprint_3km
119,Ursus thibetanus,Avg_human_population_3km
120,Ursus thibetanus,Avg_OP_percent_3km
121,Capricornis sumatraensis,Avg_FLLI_3km
122,Capricornis sumatraensis,Avg_forest_cover_3km
123,Capricornis sumatraensis,Avg_human_footprint_3km
124,Capricornis sumatraensis,Avg_human_population_3km
125,Capricornis sumatraensis,Avg_OP_percent_3km
126,Herpestes urva,Avg_FLLI_3km
127,Herpestes urva,Avg_forest_cover_3km
128,Herpestes urva,Avg_human_footprint_3km
129,Herpestes urva,Avg_human_population_3km
130,Herpestes urva,Avg_OP_percent_3km
131,Cuon alpinus,Avg_FLLI_3km
132,Cuon alpinus,Avg_forest_cover_3km
133,Cuon alpinus,Avg_human_footprint_3km
134,Cuon alpinus,Avg_human_population_3km
135,Cuon alpinus,Avg_OP_percent_3km
136,Panthera tigris,Avg_FLLI_3km
137,Panthera tigris,Avg_forest_cover_3km
138,Panthera tigris,Avg_human_footprint_3km
139,Panthera tigris,Avg_human_population_3km
140,Panthera tigris,Avg_OP_percent_3km
141,Catopuma temminckii,Avg_FLLI_3km
142,Catopuma temminckii,Avg_forest_cover_3km
143,Catopuma temminckii,Avg_human_footprint_3km
144,Catopuma temminckii,Avg_human_population_3km
145,Catopuma temminckii,Avg_OP_percent_3km
146,Arctictis binturong,Avg_FLLI_3km
147,Arctictis binturong,Avg_forest_cover_3km
148,Arctictis binturong,Avg_human_footprint_3km
149,Arctictis binturong,Avg_human_population_3km
150,Arctictis binturong,Avg_OP_percent_3km
151,Prionodon linsang,Avg_FLLI_3km
152,Prionodon linsang,Avg_forest_cover_3km
153,Prionodon linsang,Avg_human_footprint_3km
154,Prionodon linsang,Avg_human_population_3km
155,Prionodon linsang,Avg_OP_percent_3km
156,Paguma larvata,Avg_FLLI_3km
157,Paguma larvata,Avg_forest_cover_3km
158,Paguma larvata,Avg_human_footprint_3km
159,Paguma larvata,Avg_human_population_3km
160,Paguma larvata,Avg_OP_percent_3km
161,Manis javanica,Avg_FLLI_3km
162,Manis javanica,Avg_forest_cover_3km
163,Manis javanica,Avg_human_footprint_3km
164,Manis javanica,Avg_human_population_3km
165,Manis javanica,Avg_OP_percent_3km
166,Muntiacus feae,Avg_FLLI_3km
167,Muntiacus feae,Avg_forest_cover_3km
168,Muntiacus feae,Avg_human_footprint_3km
169,Muntiacus feae,Avg_human_population_3km
170,Muntiacus feae,Avg_OP_percent_3km
