"","Model","Type","Formulation","Bayesian P-value","C-Hat","NRMSE"
"1","Macaca nemestrina~Avg_OP_percent_3km","Occupancy","GAM",0.657,1.003,NA
"2","Macaca nemestrina~Avg_OP_percent_3km","Occupancy","Linear",0.737,1.006,22.9
"3","Macaca nemestrina~Avg_OP_percent_3km","Occupancy","Quadratic",0.719,0.998,357.3
"4","Macaca nemestrina~Avg_OP_percent_3km","Occupancy","Cubic",0.678,1.003,513.8
"5","Macaca nemestrina~Avg_FLLI_3km","Occupancy","GAM",0.703,1.003,NA
"6","Macaca nemestrina~Avg_FLLI_3km","Occupancy","Linear",0.672,1.003,25.8
"7","Macaca nemestrina~Avg_FLLI_3km","Occupancy","Quadratic",0.654,0.988,62.5
"8","Macaca nemestrina~Avg_FLLI_3km","Occupancy","Cubic",0.507,0.929,77.9
"9","Macaca nemestrina~Avg_human_footprint_3km","Occupancy","GAM",0.754,1.005,NA
"10","Macaca nemestrina~Avg_human_footprint_3km","Occupancy","Linear",0.671,1.003,21.3
"11","Macaca nemestrina~Avg_human_footprint_3km","Occupancy","Quadratic",0.703,1.003,227.5
"12","Macaca nemestrina~Avg_human_footprint_3km","Occupancy","Cubic",0.622,1.002,247.8
"13","Macaca nemestrina~Avg_forest_cover_3km","Occupancy","GAM",0.695,1.003,NA
"14","Macaca nemestrina~Avg_forest_cover_3km","Occupancy","Linear",0.623,0.998,14.5
"15","Macaca nemestrina~Avg_forest_cover_3km","Occupancy","Quadratic",0.782,1.005,278.6
"16","Macaca nemestrina~Avg_forest_cover_3km","Occupancy","Cubic",0.755,1.004,306.9
"17","Sus scrofa~Avg_OP_percent_3km","Occupancy","GAM",0.741,1.002,NA
"18","Sus scrofa~Avg_OP_percent_3km","Occupancy","Linear",0.839,1.005,16.7
"19","Sus scrofa~Avg_OP_percent_3km","Occupancy","Quadratic",0.898,1.004,38.6
"20","Sus scrofa~Avg_OP_percent_3km","Occupancy","Cubic",0.781,1.003,48.1
"21","Sus scrofa~Avg_FLLI_3km","Occupancy","GAM",0.66,1.001,NA
"22","Sus scrofa~Avg_FLLI_3km","Occupancy","Linear",0.748,1.002,36.2
"23","Sus scrofa~Avg_FLLI_3km","Occupancy","Quadratic",0.845,1.004,46.4
"24","Sus scrofa~Avg_FLLI_3km","Occupancy","Cubic",0.83,1.004,59.3
