Species,Covariate,Model_Type,DIC,Bayes_P,C_Hat,modname,correlation_GAM,nrmse_GAM,LOOIC,LOOIC_lower,LOOIC_upper,cov_name
Macaca nemestrina,Avg_OP_percent_3km,GAM,44191.84693408272,0.656875,1.002660822546612,Macaca_nemestrina_Avg_OP_percent_3km_GAM_2024-12-31_JMS,NA,NA,13612.712529547247,13397.135728247647,13828.289330846846,Oil Palm
Macaca nemestrina,Avg_OP_percent_3km,Linear,11555.784646387643,0.737375,1.0063125017009162,Macaca_nemestrina_Avg_OP_percent_3km_Linear_2024-12-31_JMS,0.979334444664782,22.9,13789.62352020952,13580.963012761398,13998.28402765764,Oil Palm
Macaca nemestrina,Avg_OP_percent_3km,Quadratic,56028.90364766616,0.719375,0.9979299359199103,Macaca_nemestrina_Avg_OP_percent_3km_Quadratic_2024-12-31_JMS,0.9619892192409104,357.3,14521.35403839333,14312.82349910024,14729.884577686422,Oil Palm
Macaca nemestrina,Avg_OP_percent_3km,Cubic,12053.513150220413,0.678375,1.0028405094577915,Macaca_nemestrina_Avg_OP_percent_3km_Cubic_2024-12-31_JMS,0.9768388861917875,513.8,13641.302725586227,13426.593358799928,13856.012092372526,Oil Palm
Macaca nemestrina,Avg_FLLI_3km,GAM,10395.96021123994,0.702625,1.0032882555669902,Macaca_nemestrina_Avg_FLLI_3km_GAM_2024-12-31_JMS,NA,NA,13630.35470338825,13415.525434051498,13845.183972725,Forest Integrity
Macaca nemestrina,Avg_FLLI_3km,Linear,17977.420473847218,0.672,1.0027714880849512,Macaca_nemestrina_Avg_FLLI_3km_Linear_2024-12-31_JMS,0.6630615649796154,25.8,13624.526966670954,13407.819104212704,13841.234829129204,Forest Integrity
Macaca nemestrina,Avg_FLLI_3km,Quadratic,129609.02234544964,0.65375,0.9876993920901331,Macaca_nemestrina_Avg_FLLI_3km_Quadratic_2024-12-31_JMS,0.9820169028977601,62.5,15720.59529226592,15365.16388983106,16076.02669470078,Forest Integrity
Macaca nemestrina,Avg_FLLI_3km,Cubic,18736.54016214378,0.506625,0.928519076642752,Macaca_nemestrina_Avg_FLLI_3km_Cubic_2024-12-31_JMS,0.969195817325329,77.9,17402.033993812005,16838.357377912824,17965.710609711186,Forest Integrity
Macaca nemestrina,Avg_human_footprint_3km,GAM,10693.98243272617,0.754,1.0051297395278942,Macaca_nemestrina_Avg_human_footprint_3km_GAM_2024-12-31_JMS,NA,NA,13755.13298999292,13557.592349477089,13952.673630508752,Human Footprint
Macaca nemestrina,Avg_human_footprint_3km,Linear,12077.31516160064,0.671,1.0026967410946215,Macaca_nemestrina_Avg_human_footprint_3km_Linear_2024-12-31_JMS,0.9119099930747017,21.3,13617.76307522521,13396.399675218183,13839.126475232237,Human Footprint
Macaca nemestrina,Avg_human_footprint_3km,Quadratic,14012.867932017327,0.70275,1.0034577525236124,Macaca_nemestrina_Avg_human_footprint_3km_Quadratic_2024-12-31_JMS,0.9619035649802268,227.5,13619.338080374435,13402.464585621923,13836.211575126947,Human Footprint
Macaca nemestrina,Avg_human_footprint_3km,Cubic,17751.95134593352,0.62175,1.0018083344764834,Macaca_nemestrina_Avg_human_footprint_3km_Cubic_2024-12-31_JMS,0.9668436140081367,247.8,13661.403498246498,13433.40137867992,13889.405617813076,Human Footprint
Macaca nemestrina,Avg_forest_cover_3km,GAM,15117.671330842593,0.695125,1.003059655549965,Macaca_nemestrina_Avg_forest_cover_3km_GAM_2024-12-31_JMS,NA,NA,13622.097009186547,13407.092331927162,13837.101686445933,Forest Cover
Macaca nemestrina,Avg_forest_cover_3km,Linear,11873.785880410443,0.623375,0.9984497503853299,Macaca_nemestrina_Avg_forest_cover_3km_Linear_2024-12-31_JMS,0.9361031570691924,14.5,13857.6804313696,13644.992578903937,14070.368283835262,Forest Cover
Macaca nemestrina,Avg_forest_cover_3km,Quadratic,10973.90518057474,0.7825,1.0053380041959818,Macaca_nemestrina_Avg_forest_cover_3km_Quadratic_2024-12-31_JMS,0.9724307891490789,278.6,13636.45522287616,13425.262884066342,13847.647561685979,Forest Cover
